ID,Name,Center,CategoryId,CategoryName,SellingPrice,CostPrice,QtyInStock,QtyReceived,BarVisible,RestaurantVisible,COSPercent,GPAmount,GPPercent,Notes,TotalValue,TotalCost,Margin
101,CASTLE LITE,bar,CAT_1769874497293,Wines,2.0,1.25,0,0,Yes,No,0.0,0.75,37.5,,0,0,0
ITEM_1769873929893,Cheese & Tomato,restaurant,CAT_1769873828469,Sandwich,5.0,1.2,0,0,No,Yes,24.0,3.8,76.0,,0,0,0
ITEM_1769872172565,Chicken Burger,restaurant,CAT_1769871498245,Mains,8.0,2.0,0,0,No,Yes,25.0,6.0,75.0,,0,0,0
ITEM_1769874237773,Chicken Ceaser,restaurant,CAT_1769871653677,Salads,8.0,2.0,0,0,Yes,Yes,25.0,6.0,75.0,,0,0,0
ITEM_1769873368533,Chicken Cordon Bleu,restaurant,CAT_1769871498245,Mains,18.0,4.5,0,0,No,Yes,25.0,13.5,75.0,,0,0,0
ITEM_1769873865421,Chicken Mayo,restaurant,CAT_1769873828469,Sandwich,5.0,1.5,0,0,No,Yes,30.0,3.5,70.0,,0,0,0
858,CIROC PINEAPPLE,bar,CAT_1769874497293,Wines,3.0,1.66,0,0,Yes,No,0.0,1.34,44.67,,0,0,0
856,CIROC VODKA FROST,bar,CAT_1769874497293,Wines,3.0,1.66,0,0,Yes,No,0.0,1.34,44.67,,0,0,0
103,CORONA,bar,CAT_1769874497293,Wines,3.0,1.5,0,0,Yes,No,0.0,1.5,50.0,,0,0,0
ITEM_1769873897661,Egg & Bacon,restaurant,CAT_1769873828469,Sandwich,5.0,1.5,0,0,No,Yes,30.0,3.5,70.0,,0,0,0
971,FAMOUS GROUSE,bar,CAT_1769874497293,Wines,2.0,0.57,0,0,Yes,No,0.0,1.43,71.5,,0,0,0
1001,FAT TREE SWEET WINES,bar,CAT_1769874497293,Wines,15.0,5.0,0,0,Yes,No,0.0,10.0,66.67,,0,0,0
514,FIRE BALL,bar,CAT_1769874497293,Wines,2.0,0.95,0,0,Yes,No,0.0,1.05,52.5,,0,0,0
ITEM_1769871998173,Focaccia Bread,restaurant,CAT_1769871525773,Starters,6.0,1.5,0,0,No,Yes,25.0,4.5,75.0,,0,0,0
450,FRUIT JUICES,bar,CAT_1769874497293,Wines,2.0,0.67,0,0,Yes,No,0.0,1.33,66.5,,0,0,0
ITEM_1769873664174,Fruit Salad,restaurant,CAT_1769871473629,Desserts,5.0,1.5,0,0,No,Yes,30.0,3.5,70.0,,0,0,0
ITEM_1769874195453,Garden Salad,restaurant,CAT_1769871653677,Salads,4.0,1.0,0,0,Yes,Yes,25.0,3.0,75.0,,0,0,0
963,GENTLEMANï¿½S JACK,bar,CAT_1769874497293,Wines,4.0,1.57,0,0,Yes,No,0.0,2.43,60.75,,0,0,0
406,GILBERTï¿½S GIN,bar,CAT_1769874497293,Wines,2.0,0.38,0,0,Yes,No,0.0,1.62,81.0,,0,0,0
965,GLENFIDDICH 12YRS,bar,CAT_1769874497293,Wines,4.0,2.14,0,0,Yes,No,0.0,1.86,46.5,,0,0,0
966,GLENFIDDICH 15YRS,bar,CAT_1769874497293,Wines,6.0,2.86,0,0,Yes,No,0.0,3.14,52.33,,0,0,0
972,GLENFIDISCH 18 YRS,bar,CAT_1769874497293,Wines,7.0,4.76,0,0,Yes,No,0.0,2.24,32.0,,0,0,0
969,GLENLIVET FOUNDERS,bar,CAT_1769874497293,Wines,4.0,1.67,0,0,Yes,No,0.0,2.33,58.25,,0,0,0
964,GLENMORANGIE ï¿½ï¿½10,bar,CAT_1769874497293,Wines,4.0,1.67,0,0,Yes,No,0.0,2.33,58.25,,0,0,0
405,GORDONï¿½S GIN,bar,CAT_1769874497293,Wines,2.0,0.48,0,0,Yes,No,0.0,1.52,76.0,,0,0,0
953,GRANTï¿½S,bar,CAT_1769874497293,Wines,2.0,0.72,0,0,Yes,No,0.0,1.28,64.0,,0,0,0
ITEM_1769872896005,Grilled Chicken,restaurant,CAT_1769871498245,Mains,12.0,4.0,0,0,No,Yes,33.33,8.0,66.67,,0,0,0
ITEM_1769872042061,Hake,restaurant,CAT_1769871498245,Mains,12.0,3.0,0,0,No,Yes,25.0,9.0,75.0,,0,0,0
102,HEIEKEN,bar,CAT_1769874497293,Wines,2.5,1.25,0,0,Yes,No,0.0,1.25,50.0,,0,0,0
100,HEINEKEN SILVER,bar,CAT_1769874497293,Wines,2.5,1.25,0,0,Yes,No,0.0,1.25,50.0,,0,0,0
250,HENNESS VS,bar,CAT_1769874497293,Wines,5.0,2.14,0,0,Yes,No,0.0,2.86,57.2,,0,0,0
201,HUNTERSï¿½ DRY,bar,CAT_1769874497293,Wines,2.0,1.25,0,0,Yes,No,0.0,0.75,37.5,,0,0,0
200,HUNTERSï¿½ GOLD,bar,CAT_1769874497293,Wines,2.0,1.25,0,0,Yes,No,0.0,0.75,37.5,,0,0,0
ITEM_1769873526029,Ice Cream & Chocolate Sauce,restaurant,CAT_1769871473629,Desserts,5.0,1.5,0,0,No,Yes,30.0,3.5,70.0,,0,0,0
208,ICE TROPEZ,bar,CAT_1769874497293,Wines,8.0,5.0,0,0,Yes,No,0.0,3.0,37.5,,0,0,0
1004,J.C WINES,bar,CAT_1769874497293,Wines,20.0,9.0,0,0,Yes,No,0.0,11.0,55.0,,0,0,0
970,J.W DOUBLE BLACK,bar,CAT_1769874497293,Wines,4.0,2.14,0,0,Yes,No,0.0,1.86,46.5,,0,0,0
952,J.W RED LABEL,bar,CAT_1769874497293,Wines,2.0,0.72,0,0,Yes,No,0.0,1.28,64.0,,0,0,0
960,J&B,bar,CAT_1769874497293,Wines,2.0,0.57,0,0,Yes,No,0.0,1.43,71.5,,0,0,0
956,JACK DANIELï¿½S HONEY,bar,CAT_1769874497293,Wines,3.0,1.19,0,0,Yes,No,0.0,1.81,60.33,,0,0,0
957,JACK DANIELï¿½S NO 7,bar,CAT_1769874497293,Wines,3.0,1.19,0,0,Yes,No,0.0,1.81,60.33,,0,0,0
510,JAGERMEISTER,bar,CAT_1769874497293,Wines,3.0,1.19,0,0,Yes,No,0.0,1.81,60.33,,0,0,0
967,JAMESON BLACK BARREL,bar,CAT_1769874497293,Wines,4.0,1.67,0,0,Yes,No,0.0,2.33,58.25,,0,0,0
959,JAMESON IRISH,bar,CAT_1769874497293,Wines,3.0,1.19,0,0,Yes,No,0.0,1.81,60.33,,0,0,0
968,JAMESON STOUT,bar,CAT_1769874497293,Wines,3.0,1.19,0,0,Yes,No,0.0,1.81,60.33,,0,0,0
958,JOHNNIE WALKER BLACK,bar,CAT_1769874497293,Wines,4.0,2.14,0,0,Yes,No,0.0,1.86,46.5,,0,0,0
154,K.W.V 10YRS,bar,CAT_1769874497293,Wines,2.0,0.75,0,0,Yes,No,0.0,1.25,62.5,,0,0,0
506,KAHLUA COFFEE,bar,CAT_1769874497293,Wines,3.0,0.86,0,0,Yes,No,0.0,2.14,71.33,,0,0,0
152,KLIPDRIFT BRANDY,bar,CAT_1769874497293,Wines,2.0,0.57,0,0,Yes,No,0.0,1.43,71.5,,0,0,0
ITEM_1769873782221,Large Platter,restaurant,CAT_1769871601869,Platters,45.0,14.0,0,0,No,Yes,31.11,31.0,68.89,,0,0,0
ITEM_1769873107725,Lasagne,restaurant,CAT_1769871498245,Mains,15.0,4.5,0,0,No,Yes,30.0,10.5,70.0,,0,0,0
700,LAYS,bar,CAT_1769874497293,Wines,1.0,0.33,0,0,Yes,No,0.0,0.67,67.0,,0,0,0
850,MAGIC MOMENTS,bar,CAT_1769874497293,Wines,2.0,0.38,0,0,Yes,No,0.0,1.62,81.0,,0,0,0
509,MALIBU,bar,CAT_1769874497293,Wines,3.0,0.72,0,0,Yes,No,0.0,2.28,76.0,,0,0,0
801,MARGARITA SYRUP,bar,CAT_1769874497293,Wines,0.0,0.0,0,0,Yes,No,0.0,0.0,0.0,,0,0,0
653,MARTINI,bar,CAT_1769874497293,Wines,2.0,0.72,0,0,Yes,No,0.0,1.28,64.0,,0,0,0
206,MAYFAIR,bar,CAT_1769874497293,Wines,1.5,0.8,0,0,Yes,No,0.0,0.7,46.67,,0,0,0
